question,response
"Bonjour","Salut ! Je suis le chatbot de Yassine Hafidi. Comment puis-je vous aider aujourd'hui ?"
"Salut","Salut ! Je suis le chatbot de Yassine. Posez-moi n'importe quelle question sur son profil ou ses compétences !"
"Hello","Hello ! I'm Yassine's chatbot. How can I help you today?"
"Hi","Hi there! I'm Yassine Hafidi's chatbot. Feel free to ask me anything!"
"Bonsoir","Bonsoir ! Comment puis-je vous aider ?"
"Bonjour comment allez-vous","Très bien merci ! Je suis le chatbot de Yassine, prêt à répondre à vos questions."
"السلام عليكم","وعليكم السلام ! أنا شات بوت ياسين حافظي، كيف يمكنني مساعدتك ؟"
"salam","Wa alaykoum assalam ! Ana chatbot dyal Yassine Hafidi. Ash bghiti t3ref ?"
"chkon nta","Ana chatbot dyal Yassine Hafidi, mswl 3la l'jwaba 3la su2alat dyalkom."
"chkoun anta","Ana l'chatbot dyal Yassine Hafidi ! Suwel liya ay su2al."
"qui es-tu","Je suis un assistant virtuel (chatbot) créé par Yassine Hafidi pour présenter son profil et ses compétences."
"c'est quoi ce chatbot","Je suis le chatbot intégré au portfolio de Yassine Hafidi. Je peux répondre à vos questions sur ses compétences, projets, formation et services."
"tu peux faire quoi","Je peux vous informer sur le profil de Yassine : ses compétences, projets, formation, expérience, et comment le contacter."
"comment tu t'appelles","Je suis le chatbot de Yassine Hafidi. Vous pouvez me poser toutes vos questions sur son profil !"
"c'est qui yassine","Yassine Hafidi est un étudiant en 2ème année IDIA à l'ESTK Khenifra, passionné par le développement web et l'intelligence artificielle (Machine Learning & Deep Learning)."
"qui est yassine hafidi","Yassine Hafidi est étudiant en Ingénierie des Données et Intelligence Artificielle (IDIA) à l'ESTK Khenifra. Il développe des sites web modernes et des modèles IA."
"parle moi de yassine","Yassine Hafidi est un étudiant passionné en 2ème année IDIA à l'ESTK Khenifra. Il se spécialise en développement web et en modèles IA (ML & Deep Learning). Il a réalisé 6 projets concrets et a effectué un stage à la Délégation de Santé de Khenifra."
"quelles sont tes compétences","Yassine maîtrise : Python, HTML/CSS, JavaScript, Flask, Machine Learning, Deep Learning, NLP, SQL/NoSQL, Data Science, C/C++, et Git/GitHub."
"les compétences de yassine","Yassine possède des compétences en : développement web (HTML, CSS, JS), Python, Flask, Machine Learning, Deep Learning, NLP, SQL, Data Science et Git."
"yassine connait quoi","Yassine maîtrise la programmation Python, le développement web (HTML/CSS/JS/Flask), le Machine Learning, le Deep Learning, le NLP, et les bases de données SQL."
"skills de yassine","Yassine dispose de compétences solides en : Python, HTML/CSS, JavaScript, Flask, Machine Learning, Deep Learning, NLP, SQL/NoSQL, Data Mining, C/C++, Git et Data Science."
"what are yassine skills","Yassine's skills include: Python, HTML/CSS, JavaScript, Flask, Machine Learning, Deep Learning, NLP, SQL databases, Data Science, C/C++, and Git."
"yassine sait programmer","Oui ! Yassine programme principalement en Python et JavaScript. Il maîtrise Flask pour le backend et crée des modèles IA avec Python."
"est-ce que yassine fait de l'ia","Oui ! Yassine travaille avec l'intelligence artificielle : Machine Learning, Deep Learning et NLP. Il développe des modèles IA concrets intégrés dans ses projets."
"yassine fait du machine learning","Oui ! Yassine maîtrise le Machine Learning : classification, régression, NLP, et développement de modèles avec Python et scikit-learn."
"yassine fait du deep learning","Oui ! Yassine travaille avec le Deep Learning : réseaux de neurones et modèles prédictifs avancés."
"python yassine","Python est le langage principal de Yassine. Il l'utilise pour le développement web (Flask), le Machine Learning, le Deep Learning, et le data science."
"yassine utilise quels outils","Yassine utilise : VS Code, Git/GitHub, Python, Flask, scikit-learn, pandas, SQLite, HTML/CSS/JS, et des bibliothèques ML/DL."
"quels frameworks yassine utilise","Yassine utilise Flask pour le backend Python, HTML/CSS/JavaScript pour le frontend, et scikit-learn/pandas pour le Machine Learning."
"yassine utilise flask","Oui ! Yassine utilise Flask pour créer des APIs et des backends Python. Ce portfolio en est un exemple concret."
"html css yassine","Yassine maîtrise HTML5 et CSS3 pour créer des interfaces web modernes, responsive et animées."
"javascript yassine","Yassine utilise JavaScript pour créer des interfaces interactives et dynamiques dans ses projets web."
"comment contacter yassine","Vous pouvez contacter Yassine par email : hafidiyassine83@gmail.com ou par téléphone/WhatsApp : +212 613 612 618"
"contacter yassine","Pour contacter Yassine : Email → hafidiyassine83@gmail.com | Téléphone/WhatsApp → +212 613 612 618 | Ou utilisez le formulaire de contact sur ce portfolio."
"email de yassine","L'adresse email de Yassine est : hafidiyassine83@gmail.com"
"téléphone de yassine","Le numéro de téléphone de Yassine est : +212 613 612 618 (disponible aussi sur WhatsApp)"
"whatsapp yassine","Yassine est disponible sur WhatsApp au : +212 613 612 618"
"numero yassine","Le numéro de Yassine : +212 613 612 618 (WhatsApp inclus). Email : hafidiyassine83@gmail.com"
"how to contact yassine","You can contact Yassine at: Email → hafidiyassine83@gmail.com | Phone/WhatsApp → +212 613 612 618"
"i want to contact yassine","You can reach Yassine via email at hafidiyassine83@gmail.com or on WhatsApp at +212 613 612 618. You can also use the contact form on this portfolio!"
"quels projets yassine a réalisés","Yassine a réalisé 6 projets : 🦷 Système Dentiste, 🇲🇦 Maroc Tour, 🏢 Agence Commerciale IA, 🤖 Chatbot IA, 🚗 Agence Automobile, et 🌐 ce Portfolio interactif."
"les projets de yassine","Les projets de Yassine : 🦷 Système Dentiste, 🇲🇦 Maroc Tour, 🏢 Agence Commerciale IA, 🤖 Chatbot IA, 🚗 Agence Automobile, et 🌐 Portfolio interactif."
"projet yassine","Yassine a travaillé sur des projets web et IA concrets : gestion médicale (dentiste), tourisme (Maroc Tour), CRM avec IA, chatbot NLP, agence automobile et portfolio !"
"projet dentiste yassine","Yassine a développé un système de gestion de cabinet dentaire : prise de rendez-vous, suivi des patients, historique des soins et tableau de bord médical. Python + Flask + SQLite."
"maroc tour yassine","Maroc Tour est une plateforme de tourisme au Maroc développée par Yassine : découverte de destinations, itinéraires personnalisés et guide culturel interactif."
"agence commerciale yassine","Yassine a créé un système de gestion d'agence commerciale avec IA : analyse des ventes, prédiction des tendances, CRM et rapports automatisés avec ML."
"chatbot yassine","Le chatbot de ce portfolio a été développé par Yassine avec Python, Flask, TF-IDF et similarité cosinus pour des réponses intelligentes et contextuelles."
"agence automobile yassine","Yassine a développé une application de gestion d'agence automobile avec suivi des véhicules, géolocalisation et chatbot intégré. Backend Python + SQLite."
"what projects has yassine done","Yassine has built: 🦷 Dentist Management System, 🇲🇦 Maroc Tour platform, 🏢 Commercial Agency with AI, 🤖 AI Chatbot, 🚗 Car Agency app, and 🌐 this interactive Portfolio."
"ce portfolio","Ce portfolio a été entièrement conçu et développé par Yassine Hafidi avec design moderne, chatbot IA, système d'administration, et CV dynamique."
"comment yassine a fait ce portfolio","Yassine a développé ce portfolio avec HTML/CSS/JS pour le frontend, Python Flask pour le backend, un chatbot TF-IDF et un panneau d'administration complet."
"yassine parle quelles langues","Yassine parle : le français, l'arabe (darija et arabe classique), et l'anglais."
"langues de yassine","Yassine est multilingue : français, arabe et anglais. Il peut travailler avec des clients marocains et internationaux."
"yassine parle anglais","Oui, Yassine comprend et utilise l'anglais dans ses projets et études."
"does yassine speak english","Yes! Yassine understands and uses English in his projects and studies."
"yassine fait du freelance","Oui ! Yassine propose des services en freelance : sites web modernes, applications Python, solutions IA/ML, et systèmes de gestion. Contactez-le !"
"services freelance","Yassine offre des services freelance en : développement web, développement Python/Flask, création de modèles IA/ML, et systèmes de gestion complets."
"yassine est disponible","Yassine est disponible pour des missions freelance. Contactez-le : hafidiyassine83@gmail.com ou WhatsApp : +212 613 612 618"
"tarif yassine","Pour connaître les tarifs de Yassine, contactez-le directement : hafidiyassine83@gmail.com ou WhatsApp : +212 613 612 618"
"prix développement site web","Pour un devis personnalisé, contactez Yassine : hafidiyassine83@gmail.com ou +212 613 612 618. Les prix varient selon la complexité du projet."
